author;revision;;Count of Day;Number of days;date;date;time;Count of Date;Number of Date;number_of_lines;;comment;;;;;
ajon0002;r1539651;Monday;;;02/11/2015;Nov;15:00:59;;;1;1;Make HomeScreenWidget vertically resizeable.;;;;;
ajon0002;r1539648;Monday;;;02/11/2015;Nov;15:00:06;;;2;1;Add placeholder ImageView; containing operator logo and invisible ViewFlipper. VF containts logo and TextView for update msg. Visibility toggled on update.;;;;
ajon0002;r1539645;Monday;;;02/11/2015;Nov;14:58:00;;;2;1;Reinstate sendBroadcast; called in notifyOnUpdate. Initialises ACTION_UPDATE_COUNT intent and sends broadcast for HomeScreenWidget.;;;;
ajon0002;r1539640;Monday;;;02/11/2015;Nov;14:55:02;;;3;1;Add private ArrayList<Count> delta to store difference between incoming and in memory counts. Add setter updateDelta; called in append method. Add getter for delta.;;;;
Thomas;r1539452;Monday;;;02/11/2015;Nov;11:38:15;;;1;1;AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans;;;;;
Thomas;r1539443;Monday;;;02/11/2015;Nov;11:32:59;;;1;1;Changed to the frontier prod endpoints;;;;;
Thomas;r1539019;Friday;;;30/10/2015;Oct;16:07:02;;;1;1;Disabled buddy sync for amx cient;;;;;
Thomas;r1538990;Friday;;;30/10/2015;Oct;15:30:32;;;1;1;Removed default settings;;;;;
Jimmy;r1538828;Friday;;;30/10/2015;Oct;12:22:31;;;1;1;Homescreen merge;;;;;
Thomas;r1538795;Friday;;;30/10/2015;Oct;11:13:31;;;1;1;Set up dev and prod to amxpc labs;;;;;
Thomas;r1538793;Friday;;;30/10/2015;Oct;11:09:24;;;1;1;Set up qa to amxpc-api;;;;;
Thomas;r1538454;Thursday;;;29/10/2015;Oct;15:24:47;;;2;1;"Updated cloudsdkVersion to '1.0.8.25' PHONE-1759: Error ""WiFi Connection is Lost"" during initial backup while connected to WiFi";;;;;
Thomas;r1538444;Thursday;;;29/10/2015;Oct;15:13:29;;;1;1;FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files;;;;;
Thomas;r1538425;Thursday;;;29/10/2015;Oct;14:49:23;;;1;1;Fixed typo;;;;;
Thomas;r1538416;Thursday;;;29/10/2015;Oct;14:38:14;;;1;1;Fixed typo;;;;;
Thomas;r1538410;Thursday;;;29/10/2015;Oct;14:30:41;;;2;1;FTRPC-153: Frontier Android Tablet || User able to create dupliacte albums with same name Merged from main line: Fixed ANDINTL-3815 User is able to create two or more albums with the same name.;;;;;
Thomas;r1538393;Thursday;;;29/10/2015;Oct;13:55:08;;;1;1;FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files;;;;;
Thomas;r1538367;Thursday;;;29/10/2015;Oct;13:12:13;;;1;1;Remove empty dirs;;;;;
Thomas;r1538359;Thursday;;;29/10/2015;Oct;13:03:24;;;1;1;"FTRPC-152: Frontier Android Tablet || ""Available Offline"" is been displayed when user multi select time line photos(select Monts)";;;;;
Thomas;r1538288;Thursday;;;29/10/2015;Oct;11:30:26;;;1;1;Removed qa_wl builds;;;;;
Thomas;r1538283;Thursday;;;29/10/2015;Oct;11:25:18;;;1;1;FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them;;;;;
Jimmy;r1538264;Thursday;;;29/10/2015;Oct;10:59:57;;;1;1;BTPC-70;;;;;
Jimmy;r1538234;Thursday;;;29/10/2015;Oct;10:05:43;;;1;1;FTRPC-191;;;;;
Thomas;r1538198;Thursday;;;29/10/2015;Oct;08:46:06;;;1;1;Moved id splash_parent to ids.xml;;;;;
Thomas;r1537920;Wednesday;;;28/10/2015;Oct;15:10:05;;;2;1;FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier Missed file;;;;;
Thomas;r1537919;Wednesday;;;28/10/2015;Oct;15:07:07;;;1;1;Uopdated ignores;;;;;
Thomas;r1537915;Wednesday;;;28/10/2015;Oct;15:02:17;;;1;1;FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier;;;;;
Thomas;r1537911;Wednesday;;;28/10/2015;Oct;14:57:51;;;1;1;Added ignores;;;;;
Jimmy;r1537697;Wednesday;;;28/10/2015;Oct;09:36:03;;;1;1;Removed client-att and mct-att;;;;;
Vincent;r1537528;Tuesday;;;27/10/2015;Oct;18:12:29;;;1;1;"FTRPC-199 : Frontier Android || Instead of ""All Files""";" ""Files"" is displaying in Hamburger menu";;;;
Jimmy;r1537485;Tuesday;;;27/10/2015;Oct;16:58:28;;;1;1;Removed client-att and mct-att;;;;;
Jimmy;r1537460;Tuesday;;;27/10/2015;Oct;16:28:16;;;1;1;Enabled spanishclaros and telcel clients;;;;;
Jimmy;r1537454;Tuesday;;;27/10/2015;Oct;16:04:20;;;1;1;Added telcel folder;;;;;
Jimmy;r1537452;Tuesday;;;27/10/2015;Oct;16:01:15;;;1;1;Added spanishclaros folder;;;;;
Vincent;r1537319;Tuesday;;;27/10/2015;Oct;13:15:19;;;2;1;"FTRPC-159 : Frontier Android || ""Favorite"" is displayed when user selects Folders from 'All Files' section ";;;;;
Jimmy;r1536385;Friday;;;23/10/2015;Oct;17:03:31;;;1;1;Lint fix;;;;;
Jimmy;r1536330;Friday;;;23/10/2015;Oct;16:07:36;;;1;1;Lint fix;;;;;
Jimmy;r1536312;Friday;;;23/10/2015;Oct;15:53:51;;;1;1;Legacy app uninstall;;;;;
Jimmy;r1536311;Friday;;;23/10/2015;Oct;15:53:31;;;1;1;Legacy app uninstall;;;;;
Jimmy;r1536126;Friday;;;23/10/2015;Oct;13:40:49;;;1;1;Legacy app uninstall;;;;;
Jimmy;r1536118;Friday;;;23/10/2015;Oct;13:30:01;;;1;1;Legacy app uninstall;;;;;
Jimmy;r1536037;Friday;;;23/10/2015;Oct;11:57:54;;;1;1;Lint fix;;;;;
Jimmy;r1536002;Friday;;;23/10/2015;Oct;10:59:01;;;1;1;Reverted to prod urls;;;;;
